Sat Sep 15 19:54:43 2018
[Header]
Column  0 : index               	count
Column  1 : time                	sec
Column  2 : temperature         	K
Column  3 : magneticField       	Oe
Column  4 : current             	A
Column  5 : VH                  	V
Column  6 : VHstd               	V
Column  7 : VR                  	V
Column  8 : VRstd               	V
Column  9 : NOM                 	count
Column 10 : level               	pc
[Header end]

+1.71000000e+02, +4.71179155e+03, +4.40001000e+01, +2.50006070e+04, +1.00000000e-04, +3.47265000e-07, +6.04234516e-09, +1.08134407e-02, +2.59843554e-08, +1.00000000e+01, +6.71000000e+01
+1.72000000e+02, +4.89896479e+03, +4.40000000e+01, +2.99994980e+04, +1.00000000e-04, +3.06532000e-07, +3.28945223e-09, +1.08179659e-02, +2.36315705e-08, +1.00000000e+01, +6.71000000e+01
+1.73000000e+02, +5.08613504e+03, +4.40006000e+01, +3.50000470e+04, +1.00000000e-04, +2.67601000e-07, +3.04617120e-09, +1.08230341e-02, +2.57870631e-08, +1.00000000e+01, +6.71000000e+01
+1.74000000e+02, +5.27440336e+03, +4.39998000e+01, +4.00005940e+04, +1.00000000e-04, +2.36402500e-07, +4.58720408e-09, +1.08287907e-02, +2.22067557e-08, +1.00000000e+01, +6.71000000e+01
+1.75000000e+02, +5.46238465e+03, +4.40001000e+01, +4.49998630e+04, +1.00000000e-04, +2.05884000e-07, +5.31812364e-09, +1.08351690e-02, +2.57565545e-08, +1.00000000e+01, +6.71000000e+01
+1.76000000e+02, +5.65158173e+03, +4.40002000e+01, +4.99986130e+04, +1.00000000e-04, +1.78523500e-07, +2.86146732e-09, +1.08421427e-02, +4.07181314e-08, +1.00000000e+01, +6.71000000e+01
+1.77000000e+02, +5.84077528e+03, +4.40004000e+01, +5.50000120e+04, +1.00000000e-04, +1.60931500e-07, +3.12146684e-09, +1.08496699e-02, +3.13804573e-08, +1.00000000e+01, +6.71000000e+01
+1.78000000e+02, +6.03758541e+03, +4.40000000e+01, +6.00008910e+04, +1.00000000e-04, +1.40839000e-07, +4.74599926e-09, +1.08577117e-02, +3.45766048e-08, +1.00000000e+01, +6.71000000e+01
+1.79000000e+02, +6.22798705e+03, +4.40000000e+01, +6.50010160e+04, +1.00000000e-04, +1.28848500e-07, +4.62767277e-09, +1.08662541e-02, +4.16450189e-08, +1.00000000e+01, +6.71000000e+01
+1.80000000e+02, +6.41835269e+03, +4.40000000e+01, +6.99993360e+04, +1.00000000e-04, +1.20591500e-07, +5.18019114e-09, +1.08752537e-02, +3.30846282e-08, +1.00000000e+01, +6.71000000e+01
+1.81000000e+02, +6.60875034e+03, +4.40000000e+01, +7.50022500e+04, +1.00000000e-04, +1.14229000e-07, +3.11823652e-09, +1.08847592e-02, +1.36791347e-08, +1.00000000e+01, +6.71000000e+01
+1.82000000e+02, +6.79886396e+03, +4.39997000e+01, +8.00010940e+04, +1.00000000e-04, +1.15836000e-07, +5.87454798e-09, +1.08947035e-02, +6.80035514e-08, +1.00000000e+01, +6.71000000e+01
+1.83000000e+02, +6.99033667e+03, +4.39997000e+01, +8.50013980e+04, +1.00000000e-04, +1.19616500e-07, +3.20507960e-09, +1.09050717e-02, +3.14712031e-08, +1.00000000e+01, +6.67000000e+01
+1.84000000e+02, +7.19232721e+03, +4.39996000e+01, +9.00002970e+04, +1.00000000e-04, +1.26419500e-07, +4.84627715e-09, +1.09159988e-02, +4.21218661e-08, +1.00000000e+01, +6.67000000e+01
