[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507047193.634,,9.000000e+002,2.999932e+002,5.053215e-002,0.000000e+000,3,9.917908e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507047309.673,,1.000000e+003,2.999932e+002,5.076203e-002,0.000000e+000,3,9.918193e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507051930.679,,1.200000e+003,2.999932e+002,5.108417e-002,0.000000e+000,3,9.919734e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507052052.563,,1.400000e+003,2.999980e+002,5.128542e-002,0.000000e+000,3,9.919809e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507052185.793,,1.600000e+003,2.999932e+002,5.143527e-002,0.000000e+000,3,9.920815e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507052308.203,,1.800000e+003,3.000028e+002,5.151550e-002,0.000000e+000,3,9.918898e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1507052437.319,,2.000000e+003,2.999932e+002,5.163254e-002,0.000000e+000,3,9.919915e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507052749.394,,2.000000e+003,2.999980e+002,5.159644e-002,5.153225e-006,3,9.919800e-001,9.987560e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507052895.262,,1.800000e+003,2.999964e+002,5.150989e-002,5.030348e-006,3,9.919513e-001,9.765792e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507053060.667,,1.600000e+003,2.999996e+002,5.140219e-002,2.516757e-006,3,9.919214e-001,4.896205e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
