Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12011296.50,299.996276875,6000.122,1000,9.99834629818085,,5.63922166530186E-8,0.000102335633403786,3.80544424528369E-7,0.000102336340945986,0.213058621116456,-1.5295248311614E-8,4.4257854588001E-10,1.53016501294208E-8,178.342569623414,333,5,5,13.4965986394558,0.757658162977266,0.000210853980410773,4369,0,299.9831238,300.0252686,6000.122,6000.122,,296.944575,,,,,,,,,,,,,,,,,,,,,,,299.996276875
,12011309.99,299.99816895,6000.122,,,1.26598502866526,0.000205086296521558,,,,,,,,,1,5,0,2.249999740161,0.757658162977266,0.00679475548477706,4369,0,299.9951782,300.0011597,6000.122,6000.122,0.741977561836914,296.98725,,,,,,,,,,,,,,,,,,,,,,,299.99816895
,12011372.32,300.01121905,6199.898,1000,10.0017670531615,,4.80376577080879E-8,9.88796311795298E-5,4.1798098299006E-7,9.8880514613861E-5,0.242197541724967,-1.52955953864766E-8,4.42640095412787E-10,1.53019988393959E-8,178.342376845929,333,5,5,13.4965986394558,0.757658162977266,0.000209551623502589,4369,0,299.9931641,300.0292664,6199.898,6199.898,,296.9310875,,,,,,,,,,,,,,,,,,,,,,,300.01121905
,12011385.80,300.0142212,6199.898,,,1.26867327198686,0.000205977909308329,,,,,,,,,1,5,0,2.23499969579279,0.757658162977266,0.00682960370959409,4369,0,300.0142212,300.0142212,6199.898,6199.898,0.743348221352272,296.958,,,,,,,,,,,,,,,,,,,,,,,300.0142212
,12011448.99,300.0162735125,6400.067,1000,9.99828675219231,,5.79519173778321E-8,9.56940361931865E-5,4.31607744270984E-7,9.56950095260343E-5,0.258418763077801,-1.52952614831111E-8,4.42398301204667E-10,1.53016580831507E-8,178.343245678666,333,5,5,13.4965986394558,0.757658162977266,0.000208153387558221,4369,0,300.0061951,300.0293579,6400.067,6400.067,,296.9120875,,,,,,,,,,,,,,,,,,,,,,,300.0162735125
,12011462.70,300.0272827,6400.067,,,1.27079236088876,0.000205441011379006,,,,,,,,,1,5,0,2.21900010947138,0.757658162977266,0.00684669632401242,4369,0,300.0152588,300.0393066,6400.067,6400.067,0.743242300667847,297.0058,,,,,,,,,,,,,,,,,,,,,,,300.0272827
,12011524.98,300.0241241375,6600.003,1000,10.0017551003731,,5.45973230743611E-8,9.2859775331243E-5,4.91941559494706E-7,9.28610783970705E-5,0.303531979743408,-1.52955189541433E-8,4.42732339108602E-10,1.5301925107667E-8,178.342023319098,333,5,5,13.4965986394558,0.757658162977266,0.000207254521593984,4369,0,300.0053101,300.0384521,6600.003,6600.003,,296.943625,,,,,,,,,,,,,,,,,,,,,,,300.0241241375
,12011538.52,300.0414581,6600.003,,,1.27300936850366,0.000205267659208326,,,,,,,,,1,5,0,2.21900010947138,0.757658162977266,0.00684162537930382,4369,0,300.0294189,300.0534973,6600.003,6600.003,0.741857855076234,296.97855,,,,,,,,,,,,,,,,,,,,,,,300.0414581
,12011608.51,300.0226745625,6799.973,1000,10.00155078297,,4.82004541596949E-8,9.01385991668508E-5,4.706153694455E-7,9.01398277044512E-5,0.299139654816922,-1.52956803837861E-8,4.42630729594604E-10,1.53020835302164E-8,178.34242110599,333,5,5,13.4965986394558,0.757658162977266,0.000206032063882622,4369,0,300.0102539,300.0433655,6799.973,6799.973,,296.796725,,,,,,,,,,,,,,,,,,,,,,,300.0226745625
,12011622.00,300.0388641,6799.973,,,1.27492100411421,0.000203366481457297,,,,,,,,,1,5,0,2.15600004885346,0.757658162977266,0.00687843619749411,4369,0,300.031311,300.0464172,6799.973,6799.973,0.74228860750803,296.9228,,,,,,,,,,,,,,,,,,,,,,,300.0388641
,12011684.36,300.014865875,7000.127,1000,10.0016547101498,,4.86704698726977E-8,8.76837468465905E-5,4.7815514177557E-7,8.76850505696187E-5,0.312441028171125,-1.52956022571486E-8,4.42952139699324E-10,1.53020147368559E-8,178.341209682535,333,5,5,13.4965986394558,0.757658162977266,0.00020522907695457,4369,0,299.9821472,300.0363159,7000.127,7000.127,,296.7721,,,,,,,,,,,,,,,,,,,,,,,300.014865875
,12011697.89,300.0247345,7000.127,,,1.27699700014685,0.000204989906242401,,,,,,,,,1,5,0,2.17200026381761,0.757658162977266,0.0068923197239072,4369,0,300.0141907,300.0352783,7000.127,7000.127,0.741883866562364,296.80915,,,,,,,,,,,,,,,,,,,,,,,300.0247345
,12011761.28,300.018749225,7200.131,1000,10.0014701040115,,4.96266396343325E-8,8.5380565837931E-5,5.18849005697479E-7,8.53821423196677E-5,0.348176332756942,-1.52959800880983E-8,4.42710006075712E-10,1.53023854024456E-8,178.342156860074,333,5,5,13.4965986394558,0.757658162977266,0.000204625838018571,4369,0,299.999176,300.056366,7200.131,7200.131,,296.7934,,,,,,,,,,,,,,,,,,,,,,,300.018749225
,12011774.82,300.0322876,7200.131,,,1.2784627830775,0.000203761216064895,,,,,,,,,1,5,0,2.25000036880374,0.757658162977266,0.00693875161435093,4369,0,300.0292664,300.0353088,7200.131,7200.131,0.742213281942928,296.8325,,,,,,,,,,,,,,,,,,,,,,,300.0322876
,12011830.46,300.01963045,7399.939,1000,10.0014501161534,,4.70943125807179E-8,8.32452953332753E-5,5.17872504255462E-7,8.32469061710698E-5,0.356434870326999,-1.52958676516031E-8,4.42846413364239E-10,1.53022769600209E-8,178.341634149202,333,5,5,13.4965986394558,0.757658162977266,0.000203539208941805,4369,0,300.0011597,300.0433655,7399.939,7399.939,,296.8042875,,,,,,,,,,,,,,,,,,,,,,,300.01963045
,12011844.11,300.0252686,7399.939,,,1.27984347143868,0.00020471003383901,,,,,,,,,1,5,0,2.249999740161,0.757658162977266,0.00692425352114301,4369,0,300.0252686,300.0252686,7399.939,7399.939,0.742273994148257,296.83395,,,,,,,,,,,,,,,,,,,,,,,300.0252686
,12011914.18,300.0114822375,7599.995,1000,10.001594686645,,5.53906875411254E-8,8.12222592869785E-5,5.58658054234901E-7,8.12241805283545E-5,0.394082166991261,-1.52959139750909E-8,4.42472528385332E-10,1.53023124485078E-8,178.34303850357,333,5,5,13.4965986394558,0.757658162977266,0.000202632353057886,4369,0,299.9941711,300.0272827,7599.995,7599.995,,296.861725,,,,,,,,,,,,,,,,,,,,,,,300.0114822375
,12011927.69,300.001709,7599.995,,,1.28218720934721,0.000204967075615582,,,,,,,,,1,5,0,2.21900010947138,0.757658162977266,0.0069167848026916,4369,0,299.9821472,300.0212708,7599.995,7599.995,0.740871930261208,296.90345,,,,,,,,,,,,,,,,,,,,,,,300.001709
,12011990.13,299.9856605625,7799.945,1000,10.001683870175,,5.57804176786731E-8,7.93120568500144E-5,5.43820215212715E-7,7.93139212383702E-5,0.392854707017988,-1.52958200272295E-8,4.42730956884854E-10,1.53022260147202E-8,178.342061108693,333,5,5,13.4965986394558,0.757658162977266,0.000201901275406973,4369,0,299.9801636,300.0012207,7799.945,7799.945,,296.8287875,,,,,,,,,,,,,,,,,,,,,,,299.9856605625
,12012003.60,299.9911041,7799.945,,,1.28388218212955,0.000203455235612905,,,,,,,,,1,5,0,2.23499969579279,0.757658162977266,0.00693875793052171,4369,0,299.9851074,299.9971008,7799.945,7799.945,0.737692047223382,296.88055,,,,,,,,,,,,,,,,,,,,,,,299.9911041
,12012059.28,300.00549315,7999.991,1000,10.0017051272431,,4.18877562568881E-8,7.75458315446088E-5,5.43073673598362E-7,7.75477331645471E-5,0.401250720486774,-1.52958226621491E-8,4.42705611839305E-10,1.53022279152634E-8,178.34215625328,333,5,5,13.4965986394558,0.757658162977266,0.000201274066711928,4369,0,299.9820557,300.0152893,7999.991,7999.991,,296.86365,,,,,,,,,,,,,,,,,,,,,,,300.00549315
,12012072.89,300.0017395,7999.991,,,1.28531792342449,0.000205206405233984,,,,,,,,,1,5,0,2.249999740161,0.757658162977266,0.00695078385415123,4369,0,299.9881897,300.0152893,7999.991,7999.991,0.741490013879704,296.89955,,,,,,,,,,,,,,,,,,,,,,,300.0017395
,12012136.20,300.0032386875,8200.065,1000,10.0015535774892,,5.20478147384247E-8,7.58047906839907E-5,5.59535713343284E-7,7.58068556982688E-5,0.422908003112983,-1.52959764713272E-8,4.42777797355894E-10,1.53023837485938E-8,178.341902747795,333,5,5,13.4965986394558,0.757658162977266,0.000200594923538949,4369,0,299.9851685,300.0152893,8200.065,8200.065,,296.9150625,,,,,,,,,,,,,,,,,,,,,,,300.0032386875
,12012149.77,300.0092621,8200.065,,,1.28654772875226,0.000204532657209221,,,,,,,,,1,5,0,2.17200026381761,0.757658162977266,0.00694071100649328,4369,0,300.0032349,300.0152893,8200.065,8200.065,0.742929303543059,296.94115,,,,,,,,,,,,,,,,,,,,,,,300.0092621
,12012213.26,300.0046425,8400.191,1000,10.0016913298315,,5.31580743262954E-8,7.42981633999535E-5,6.34057839367836E-7,7.43008688640305E-5,0.48894824062529,-1.52957393472246E-8,4.42607757345565E-10,1.53021418045023E-8,178.342513471169,333,5,5,13.4965986394558,0.757658162977266,0.000200051609000566,4369,0,299.9880676,300.0151978,8400.191,8400.191,,296.9476375,,,,,,,,,,,,,,,,,,,,,,,300.0046425
,12012226.81,299.99861145,8400.191,,,1.28852834700224,0.000204318403353167,,,,,,,,,1,5,0,2.20300052314997,0.757658162977266,0.00698927582949704,4369,0,299.9880676,300.0091553,8400.191,8400.191,0.741514510180726,296.9329,,,,,,,,,,,,,,,,,,,,,,,299.99861145
,12012282.46,300.00611875,8600.047,1000,10.0014913758831,,4.87979324288294E-8,7.27196025956369E-5,5.87586262869188E-7,7.27219764533643E-5,0.462949178915924,-1.52958803162569E-8,4.42621304198717E-10,1.53022831063925E-8,178.342478036517,333,5,5,13.4965986394558,0.757658162977266,0.000199372465827586,4369,0,299.992218,300.0193176,8600.047,8600.047,,296.75755,,,,,,,,,,,,,,,,,,,,,,,300.00611875
,12012296.06,300.00123595,8600.047,,,1.28966028823522,0.000204179648838172,,,,,,,,,1,5,0,2.23400015383959,0.757658162977266,0.00698476081638422,4369,0,299.9952087,300.0072632,8600.047,8600.047,0.742615352742895,296.8605,,,,,,,,,,,,,,,,,,,,,,,300.00123595
,12012359.58,299.994735725,8800.046,1000,10.0016630806893,,5.11379772428024E-8,7.12497201020275E-5,6.04755896064963E-7,7.12522865900533E-5,0.486305467120221,-1.52958920822027E-8,4.42693614663131E-10,1.53022969591775E-8,178.342208674911,333,5,5,13.4965986394558,0.757658162977266,0.000199028899281256,4369,0,299.9720154,300.0163574,8800.046,8800.046,,296.8565375,,,,,,,,,,,,,,,,,,,,,,,299.994735725
,12012373.01,300.01333615,8800.046,,,1.2917259467791,0.00020404949983827,,,,,,,,,1,5,0,2.14100000448525,0.757658162977266,0.00699697798784116,4369,0,300.0103149,300.0163574,8800.046,8800.046,0.741174062908182,296.8717,,,,,,,,,,,,,,,,,,,,,,,300.01333615
,12012435.29,299.9909401,9000.072,1000,10.0016419736844,,4.99037474375972E-8,6.99308048149028E-5,6.30352321437031E-7,6.99336457372928E-5,0.516446930616164,-1.52958317297351E-8,4.4291359415166E-10,1.53022429975561E-8,178.341378818879,333,5,5,13.4965986394558,0.757658162977266,0.000198697317614449,4369,0,299.980011,299.9981079,9000.072,9000.072,,296.88,,,,,,,,,,,,,,,,,,,,,,,299.9909401
,12012448.82,300.01013185,9000.072,,,1.29256846344881,0.00020347871751989,,,,,,,,,1,5,0,2.21899948082864,0.757658162977266,0.00700896427953575,4369,0,300.0071106,300.0131531,9000.072,9000.072,0.74186197968989,296.99455,,,,,,,,,,,,,,,,,,,,,,,300.01013185
,12012504.45,299.992904625,9200.156,1000,10.0016340796245,,4.77668943008575E-8,6.86108556299774E-5,6.44134185041523E-7,6.86138792018491E-5,0.537889896186331,-1.52957134803736E-8,4.42822842578825E-10,1.53021221712412E-8,178.341705662437,333,5,5,13.4965986394558,0.757658162977266,0.000198110058517814,4369,0,299.9801025,299.9981689,9200.156,9200.156,,296.85305,,,,,,,,,,,,,,,,,,,,,,,299.992904625
,12012517.99,299.99215695,9200.156,,,1.29417120506628,0.000204175072399228,,,,,,,,,1,5,0,2.20299989450723,0.757658162977266,0.00700709374133489,4369,0,299.9891357,299.9951782,9200.156,9200.156,0.741564534611047,296.8859,,,,,,,,,,,,,,,,,,,,,,,299.99215695
,12012581.40,299.9942931875,9400.116,1000,10.0014342372353,,6.17380903337076E-8,6.73798620760202E-5,6.5261594402371E-7,6.73830224979104E-5,0.554927969291661,-1.52961623419172E-8,4.42862117918617E-10,1.53025719813949E-8,178.341607304585,333,5,5,13.4965986394558,0.757658162977266,0.000197742522212437,4369,0,299.9691162,300.0052185,9400.116,9400.116,,296.849725,,,,,,,,,,,,,,,,,,,,,,,299.9942931875
,12012594.98,300.00067135,9400.116,,,1.29523298434008,0.000203168574804061,,,,,,,,,1,5,0,2.28099999949336,0.757658162977266,0.0069580592370572,4369,0,299.999176,300.0021667,9400.116,9400.116,0.742298248999426,296.8925,,,,,,,,,,,,,,,,,,,,,,,300.00067135
,12012665.21,299.9750213625,9600.053,1000,10.001549566869,,5.89918930541947E-8,6.61323627097641E-5,6.56801015195287E-7,6.61356241760018E-5,0.56902078472124,-1.52961536552742E-8,4.429722081079E-10,1.53025664848389E-8,178.341194336928,333,5,5,13.4965986394558,0.757658162977266,0.000197295086710239,4369,0,299.9651184,299.9952087,9600.053,9600.053,,296.9166625,,,,,,,,,,,,,,,,,,,,,,,299.9750213625
,12012678.73,299.9921875,9600.053,,,1.29797266274382,0.000202998202684272,,,,,,,,,1,5,0,2.31199963018298,0.757658162977266,0.00695556919863388,4369,0,299.9831543,300.0012207,9600.053,9600.053,0.74064943948315,296.96135,,,,,,,,,,,,,,,,,,,,,,,299.9921875
,12012734.36,299.9575271625,9799.861,1000,10.0015286305643,,5.19804346178242E-8,6.50066402899047E-5,6.5879331870807E-7,6.50099783911503E-5,0.580629677729948,-1.5296135623976E-8,4.42928589510343E-10,1.5302547198505E-8,178.341355630859,333,5,5,13.4965986394558,0.757658162977266,0.000197167247995325,4369,0,299.9440002,299.9680481,9799.861,9799.861,,296.8950875,,,,,,,,,,,,,,,,,,,,,,,299.9575271625
,12012747.88,299.97857665,9799.861,,,1.29950074197406,0.000205128505145265,,,,,,,,,1,5,0,2.2490001982078,0.757658162977266,0.00702644695592788,4369,0,299.9680481,299.9891052,9799.861,9799.861,0.742071158249755,296.9776,,,,,,,,,,,,,,,,,,,,,,,299.97857665
,12012832.49,299.9625702,9999.959,1000,10.0017740367954,,5.07438517041707E-8,6.37904068171609E-5,6.78257348021007E-7,6.37940125319691E-5,0.609179672225173,-1.52959980676106E-8,4.43192615914347E-10,1.53024173443005E-8,178.340352561525,333,5,5,13.4965986394558,0.757658162977266,0.000196839661288359,4369,0,299.9429932,299.973114,9999.959,9999.959,,296.96885,,,,,,,,,,,,,,,,,,,,,,,299.9625702
,12012846.11,299.9725952,9999.959,,,1.30104759511037,0.000203815006369489,,,,,,,,,1,5,0,2.23399952519685,0.757658162977266,0.00709436370365736,4369,0,299.9500122,299.9951782,9999.959,9999.959,0.74049489402977,297.03615,,,,,,,,,,,,,,,,,,,,,,,299.9725952
