[Header]
TITLE, 20181108 PCCO 17 Grow N2O Annealed 200 Torr O2 2min
FILEOPENTIME,10839542.50,11/27/2018,9:49 AM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, Short, Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, Long, Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, Sum, Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,10839563.72,4370,299.986953735352,-0.0850000008940697,90.0139999389648,542.59078125,99.7262005615234,681.202514648438,99.3060806274414,1223.71150390625,71.2748382568359,,,0.00784121021271034,0.0115506765527273,0.0210877513744876,,25,542.59078125,681.202514648438,1223.71150390625,
,10839620.94,4374,298.848709106445,-0.0850000008940697,90.0139999389648,541.656943359375,99.9020004272461,680.016020507813,99.9020004272461,1221.62532714844,72.5449981689453,,,0.0929827286925973,0.116448071057063,0.170788279861612,,25,541.656943359375,680.016020507813,1221.62532714844,
,10839654.45,4374,297.666442871094,-0.0850000008940697,90.0139999389648,540.396018066406,99.9020004272461,678.418522949219,99.9020004272461,1218.77752929687,72.5449981689453,,,0.159171556194885,0.199079301562168,0.358976365590016,,25,540.396018066406,678.418522949219,1218.77752929687,
,10839671.09,4374,296.436798095703,-0.0850000008940697,90.0139999389648,539.211721191406,99.9020004272461,676.912644042969,99.9020004272461,1216.1531640625,72.5449981689453,,,0.257499370443073,0.325705215845879,0.579532144385244,,25,539.211721191406,676.912644042969,1216.1531640625,
,10839691.23,4374,294.173706054688,-0.0850000008940697,90.0139999389648,536.896101074219,99.9020004272461,673.980759277344,99.9020004272461,1210.78664550781,75.9649963378906,,,0.41112525488721,0.52031055777992,0.933443914718628,,25,536.896101074219,673.980759277344,1210.78664550781,
,10839706.83,4374,292.091400146484,-0.0850000008940697,90.0139999389648,534.396259765625,99.9020004272461,670.817770996094,99.9020004272461,1205.10727539063,75.9649963378906,,,0.511539631604886,0.648460105834447,1.16149760881138,,25,534.396259765625,670.817770996094,1205.10727539063,
,10839721.73,4374,289.944702148438,-0.0850000008940697,90.0139999389648,531.476704101563,99.9020004272461,667.228408203125,99.9020004272461,1198.66975097656,75.9649963378906,,,0.593041836596561,0.748622877171734,1.34243353521062,,25,531.476704101563,667.228408203125,1198.66975097656,
,10839734.33,4370,288.242004394531,-0.0850000008940697,90.0139999389648,528.821784667969,99.9020004272461,663.769755859375,99.9020004272461,1192.66459960938,75.9649963378906,,,0.632996570177036,0.800332648240296,1.4318215278164,,25,528.821784667969,663.769755859375,1192.66459960938,
,10839756.59,4370,286.753646850586,-0.0850000008940697,90.0139999389648,524.390236816406,99.9020004272461,658.176931152344,99.9020004272461,1182.57702148438,75.9649963378906,,,0.49130791369027,0.620460615043737,1.11479332114126,,25,524.390236816406,658.176931152344,1182.57702148438,
,10839775.63,4370,285.270355224609,-0.0850000008940697,90.0139999389648,521.228369140625,99.9020004272461,654.268120117188,99.9020004272461,1175.42130859375,75.9649963378906,,,0.489272917880271,0.616557108631404,1.10706508256845,,25,521.228369140625,654.268120117188,1175.42130859375,
,10839793.45,4370,283.485992431641,-0.0850000008940697,90.0139999389648,518.037912597656,99.9020004272461,650.236462402344,99.9020004272461,1168.19512207031,75.9649963378906,,,0.5195694553966,0.65298735232975,1.16870110264545,,25,518.037912597656,650.236462402344,1168.19512207031,
